dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.010-ps0.0035-w2000000.0,19000,4188.8085,347.9627,3840.8458,11198.4588,2685.2105,8513.2484,0.0000,0.0000,0.0000,1.6734,6.7169,1.2165,0.6014,28.0652,44.9449,0.3776,0.2737
tamaraw-pc0.010-ps0.0035-w4000000.0,19000,4188.8085,347.9627,3840.8458,12489.0503,3044.1105,9444.9398,0.0000,0.0000,0.0000,1.9815,7.7484,1.4591,0.8038,28.0652,50.6231,0.1753,0.2284
tamaraw-pc0.010-ps0.0035-w6000000.0,19000,4188.8085,347.9627,3840.8458,13477.6793,3327.3096,10150.3697,0.0000,0.0000,0.0000,2.2175,8.5623,1.6427,0.9462,28.0652,54.6197,0.2247,0.1950
tamaraw-pc0.010-ps0.0040-w2000000.0,19000,4188.8085,347.9627,3840.8458,10527.7263,2705.8641,7821.8622,0.0000,0.0000,0.0000,1.5133,6.7763,1.0365,0.6546,28.0652,46.4375,0.3563,0.2995
tamaraw-pc0.010-ps0.0040-w4000000.0,19000,4188.8085,347.9627,3840.8458,11703.1418,3083.8146,8619.3272,0.0000,0.0000,0.0000,1.7939,7.8625,1.2441,0.8935,28.0652,53.1401,0.2874,0.2521
tamaraw-pc0.010-ps0.0040-w6000000.0,19000,4188.8085,347.9627,3840.8458,12610.3559,3381.6291,9228.7268,0.0000,0.0000,0.0000,2.0105,8.7184,1.4028,1.0821,28.0652,58.4347,0.2400,0.2221
tamaraw-pc0.015-ps0.0015-w2000000.0,19000,4188.8085,347.9627,3840.8458,18173.0401,1759.5307,16413.5094,0.0000,0.0000,0.0000,3.3385,4.0567,3.2734,0.3160,28.0652,36.9336,0.4139,0.1811
tamaraw-pc0.015-ps0.0015-w4000000.0,19000,4188.8085,347.9627,3840.8458,20428.0165,1891.0686,18536.9479,0.0000,0.0000,0.0000,3.8768,4.4347,3.8263,0.3466,28.0652,37.7930,0.3208,0.1374
tamaraw-pc0.015-ps0.0015-w6000000.0,19000,4188.8085,347.9627,3840.8458,21910.5629,1997.0406,19913.5223,0.0000,0.0000,0.0000,4.2307,4.7392,4.1847,0.3606,28.0652,38.1853,0.1792,0.1218
tamaraw-pc0.015-ps0.0020-w2000000.0,19000,4188.8085,347.9627,3840.8458,14814.5009,1825.3168,12989.1841,0.0000,0.0000,0.0000,2.5367,4.2457,2.3819,0.4005,28.0652,39.3052,0.4245,0.2253
tamaraw-pc0.015-ps0.0020-w4000000.0,19000,4188.8085,347.9627,3840.8458,16668.1677,1982.7307,14685.4369,0.0000,0.0000,0.0000,2.9792,4.6981,2.8235,0.4589,28.0652,40.9440,0.3718,0.1884
tamaraw-pc0.015-ps0.0020-w6000000.0,19000,4188.8085,347.9627,3840.8458,17942.3705,2110.6751,15831.6954,0.0000,0.0000,0.0000,3.2834,5.0658,3.1219,0.4891,28.0652,41.7926,0.3147,0.1679
tamaraw-pc0.015-ps0.0025-w2000000.0,19000,4188.8085,347.9627,3840.8458,12844.8356,1875.4865,10969.3491,0.0000,0.0000,0.0000,2.0665,4.3899,1.8560,0.4809,28.0652,41.5631,0.4074,0.2484
tamaraw-pc0.015-ps0.0025-w4000000.0,19000,4188.8085,347.9627,3840.8458,14419.4686,2056.3855,12363.0831,0.0000,0.0000,0.0000,2.4424,4.9098,2.2188,0.5748,28.0652,44.1981,0.3508,0.2182
tamaraw-pc0.015-ps0.0025-w6000000.0,19000,4188.8085,347.9627,3840.8458,15552.1916,2204.6110,13347.5806,0.0000,0.0000,0.0000,2.7128,5.3358,2.4752,0.6288,28.0652,45.7139,0.3287,0.1958
